y_snr,trial,xy_snapshot_sign_error,x_pf_sign_error
0.2,0,0.41,0.27
0.2,1,0.45,0.02
0.2,2,0.49,0.39
0.2,3,0.53,0.09
0.2,4,0.38,0.82
0.2,5,0.43,0.05
0.2,6,0.35,0.51
0.2,7,0.41,0.14
0.2,8,0.52,0.0
0.2,9,0.44,0.22
0.2,10,0.49,0.81
0.2,11,0.47,0.21
0.2,12,0.46,0.18
0.2,13,0.45,0.13
0.2,14,0.5,0.29
0.2,15,0.51,0.57
0.2,16,0.39,0.07
0.2,17,0.5,0.12
0.2,18,0.54,0.43
0.2,19,0.46,0.26
0.2,20,0.44,0.22
0.2,21,0.51,0.42
0.2,22,0.47,0.31
0.2,23,0.41,0.21
0.2,24,0.41,0.36
0.2,25,0.46,0.07
0.2,26,0.43,0.21
0.2,27,0.52,0.44
0.2,28,0.5,0.3
0.2,29,0.5,0.38
0.2,30,0.41,0.09
0.2,31,0.54,0.13
0.2,32,0.49,0.72
0.2,33,0.43,0.18
0.2,34,0.44,0.34
0.2,35,0.5,0.01
0.2,36,0.35,0.05
0.2,37,0.51,0.0
0.2,38,0.39,0.06
0.2,39,0.51,0.17
0.5,0,0.37,0.51
0.5,1,0.41,0.11
0.5,2,0.42,0.24
0.5,3,0.45,0.02
0.5,4,0.42,0.26
0.5,5,0.38,0.06
0.5,6,0.48,0.61
0.5,7,0.33,0.26
0.5,8,0.36,0.2
0.5,9,0.4,0.34
0.5,10,0.4,0.7
0.5,11,0.48,0.25
0.5,12,0.38,0.44
0.5,13,0.41,0.23
0.5,14,0.5,0.23
0.5,15,0.45,0.66
0.5,16,0.42,0.42
0.5,17,0.42,0.66
0.5,18,0.39,0.26
0.5,19,0.39,0.67
0.5,20,0.48,0.16
0.5,21,0.35,0.66
0.5,22,0.36,0.47
0.5,23,0.42,0.42
0.5,24,0.4,0.34
0.5,25,0.44,0.82
0.5,26,0.4,0.31
0.5,27,0.42,0.46
0.5,28,0.32,0.31
0.5,29,0.31,0.24
0.5,30,0.41,0.31
0.5,31,0.37,0.16
0.5,32,0.36,0.42
0.5,33,0.32,0.02
0.5,34,0.51,0.01
0.5,35,0.44,0.08
0.5,36,0.42,0.48
0.5,37,0.3,0.41
0.5,38,0.41,0.31
0.5,39,0.46,0.69
1.0,0,0.29,0.68
1.0,1,0.29,0.29
1.0,2,0.3,0.21
1.0,3,0.24,0.41
1.0,4,0.29,0.12
1.0,5,0.38,0.32
1.0,6,0.37,0.13
1.0,7,0.29,0.01
1.0,8,0.44,0.13
1.0,9,0.24,0.31
1.0,10,0.34,0.55
1.0,11,0.27,0.18
1.0,12,0.35,0.54
1.0,13,0.29,0.13
1.0,14,0.34,0.39
1.0,15,0.33,0.3
1.0,16,0.28,0.17
1.0,17,0.33,0.0
1.0,18,0.32,0.21
1.0,19,0.23,0.42
1.0,20,0.32,0.39
1.0,21,0.41,0.07
1.0,22,0.28,0.38
1.0,23,0.23,0.48
1.0,24,0.32,0.28
1.0,25,0.4,0.44
1.0,26,0.37,0.63
1.0,27,0.35,0.27
1.0,28,0.25,0.68
1.0,29,0.37,0.16
1.0,30,0.32,0.09
1.0,31,0.36,0.41
1.0,32,0.43,0.42
1.0,33,0.4,0.35
1.0,34,0.35,0.61
1.0,35,0.23,0.07
1.0,36,0.34,0.32
1.0,37,0.34,0.15
1.0,38,0.3,0.32
1.0,39,0.31,0.3
2.0,0,0.34,0.19
2.0,1,0.21,0.74
2.0,2,0.21,0.07
2.0,3,0.28,0.09
2.0,4,0.23,0.45
2.0,5,0.29,0.56
2.0,6,0.04,0.18
2.0,7,0.25,0.25
2.0,8,0.35,0.57
2.0,9,0.14,0.33
2.0,10,0.19,0.41
2.0,11,0.21,0.01
2.0,12,0.3,0.63
2.0,13,0.17,0.05
2.0,14,0.27,0.37
2.0,15,0.3,0.18
2.0,16,0.12,0.3
2.0,17,0.09,0.78
2.0,18,0.17,0.2
2.0,19,0.19,0.09
2.0,20,0.27,0.31
2.0,21,0.2,0.77
2.0,22,0.18,0.38
2.0,23,0.16,0.53
2.0,24,0.37,0.43
2.0,25,0.21,0.64
2.0,26,0.09,0.33
2.0,27,0.26,0.12
2.0,28,0.24,0.45
2.0,29,0.26,0.35
2.0,30,0.2,0.03
2.0,31,0.27,0.06
2.0,32,0.13,0.56
2.0,33,0.07,0.37
2.0,34,0.21,0.22
2.0,35,0.07,0.44
2.0,36,0.22,0.34
2.0,37,0.32,0.02
2.0,38,0.25,0.33
2.0,39,0.18,0.17
5.0,0,0.09,0.4
5.0,1,0.07,0.18
5.0,2,0.2,0.45
5.0,3,0.04,0.27
5.0,4,0.07,0.55
5.0,5,0.0,0.36
5.0,6,0.13,0.01
5.0,7,0.08,0.12
5.0,8,0.03,0.2
5.0,9,0.14,0.36
5.0,10,0.06,0.16
5.0,11,0.15,0.17
5.0,12,0.13,0.49
5.0,13,0.14,0.28
5.0,14,0.0,0.1
5.0,15,0.09,0.53
5.0,16,0.03,0.69
5.0,17,0.11,0.47
5.0,18,0.03,0.4
5.0,19,0.03,0.36
5.0,20,0.06,0.29
5.0,21,0.07,0.1
5.0,22,0.08,0.14
5.0,23,0.09,0.06
5.0,24,0.02,0.41
5.0,25,0.1,0.29
5.0,26,0.08,0.42
5.0,27,0.17,0.35
5.0,28,0.11,0.35
5.0,29,0.01,0.27
5.0,30,0.02,0.63
5.0,31,0.03,0.07
5.0,32,0.05,0.06
5.0,33,0.08,0.52
5.0,34,0.11,0.12
5.0,35,0.1,0.26
5.0,36,0.05,0.64
5.0,37,0.07,0.07
5.0,38,0.0,0.17
5.0,39,0.07,0.54
